BIOCHEMICAL	SUPER_PATHWAY	SUB_PATHWAY	LIB_ID	COMP_ID	PLATFORM	RI	MASS	CAS	KEGG	                              Group   HMDB_ID	LT2_1	LT2_2	LT2_3	LT2_4	LT2_5	LT2_6	LT2_7	MYC_1	MYC_2	MYC_3	MYC_4	MYC_5	MYC_6	MYC_7	RAS_1	RAS_2	RAS_3	RAS_4	RAS_5	RAS_6	RAS_7	MYC.RAS_1	MYC.RAS_2	MYC.RAS_3	MYC.RAS_4	MYC.RAS_5	MYC.RAS_6	MYC.RAS_7	MYC.RAS_8	MYC.RAS_9
3-(4-hydroxyphenyl)lactate	Amino acid	Phenylalanine & tyrosine metabolism	201	32197	LC/MS	1395	181.1	6482-98-0;	C03672	HMDB00755	"33,120"	"51,014"	"50,858"	"57,568"										"17,886"	"144,289"	"247,924"		"51,748"		"17,074"	"23,001"	"24,740"	"28,431"	"28,280"				"15,584"		
3-aminoisobutyrate	Nucleotide	"Pyrimidine metabolism, thymine containing; Valine, leucine and isoleucine metabolism/"	50	1566	GC/MS	1252.2	101.9	10569-72-9;	C05145	HMDB03911	"317,004"	"313,295"	"218,048"	"233,296"	"315,345"	"204,709"	"229,422"	"677,118"	"994,866"	"958,342"	"730,787"	"1,103,742"	"406,285"	"864,419"	"176,254"	"545,247"	"150,188"	"334,713"	"173,979"	"185,187"	"112,440"	"381,435"	"460,644"	"361,178"	"835,642"	"396,242"	"442,716"	"433,982"	"234,297"	"309,750"
3-dehydrocarnitine*	Lipid	Carnitine metabolism	200	32654	LC/MS	1020	160.2	10457-99-5;	C02636	HMDB12154	"917,668"	"689,411"	"844,965"	"759,238"	"1,718,318"	"1,624,294"	"1,582,593"	"2,252,443"	"2,781,457"	"2,518,961"	"2,565,487"	"2,334,104"	"890,044"	"877,072"	"1,770,966"	"1,647,985"	"1,302,431"	"874,088"	"664,318"	"456,164"	"403,237"	"465,191"	"318,316"	"327,069"	"609,010"	"365,293"	"317,172"	"259,956"	"407,351"	"324,426"
3-hydroxybutyrate (BHBA)	Lipid	Ketone bodies	50	542	GC/MS	1203.5	116.9	625-72-9;	C01089	HMDB00357	"1,973,491"	"1,626,600"	"1,669,465"	"3,243,884"	"1,128,985"	"1,095,330"	"1,123,682"	"522,461"	"8,860,228"	"2,258,622"	"858,985"	"892,129"	"2,296,331"	"2,823,358"	"18,243,348"	"6,256,685"	"2,694,865"	"1,411,481"	"1,080,307"	"876,084"	"781,483"	"1,072,420"	"2,166,676"	"1,277,615"	"2,028,860"	"1,219,774"	"900,049"	"830,094"	"4,583,726"	"984,225"
3-methyl-2-oxovalerate	Amino acid	"Valine, leucine and isoleucine metabolism"	201	15676	LC/MS	2106	129.2	51829-07-3;	C00671	HMDB03736															"21,507"		"30,392"			"36,980"	"25,807"	"29,993"	"22,970"		"18,088"	"19,647"	"31,553"	"23,345"	"21,241"	
3-phosphoglycerate	Carbohydrate	"Glycolysis, gluconeogenesis, pyruvate metabolism"	50	1414	GC/MS	1756	299	80731-10-8;	C00597	HMDB00807	"666,493"	"1,394,535"	"1,020,699"	"235,330"	"1,126,397"	"810,500"	"642,722"	"455,055"	"411,278"	"500,744"	"611,281"	"434,377"	"184,881"	"331,803"	"265,503"	"243,394"	"454,793"	"237,637"	"344,965"	"570,421"	"420,508"	"238,709"	"441,334"	"685,455"	"395,880"	"357,243"	"176,594"	"166,213"	"446,664"	"305,370"
3-ureidopropionate	Amino acid	Alanine and aspartate metabolism	200	3155	LC/MS	1062	133.1	462-88-4;	C02642	HMDB00026						"74,339"		"57,046"	"56,840"	"98,860"	"69,799"	"91,836"	"26,588"		"131,527"	"491,560"	"269,837"		"102,484"	"422,971"	"234,881"	"276,667"	"77,638"	"217,867"	"49,961"	"496,393"	"155,448"	"290,864"	"104,894"	"135,283"
4-guanidinobutanoate	Amino acid	Guanidino and acetamido metabolism	200	15681	LC/MS	1085	146.1	463-003;463-00-3;	C01035	HMDB03464	"745,834"	"539,886"	"489,186"	"276,084"	"445,147"	"301,307"	"310,019"	"488,266"	"265,867"	"835,722"	"744,067"	"1,038,750"	"482,504"	"410,668"	"129,307"	"274,811"	"171,087"	"1,340,755"	"526,214"	"477,851"	"144,143"	"813,459"	"560,583"	"500,466"	"649,660"	"629,448"	"864,235"	"784,209"	"382,118"	"852,248"
4-methyl-2-oxopentanoate	Amino acid	"Valine, leucine and isoleucine metabolism"	201	22116	LC/MS	2200	129.2	816-66-0;	C00233	HMDB00695		"15,414"					"28,278"	"16,454"	"26,614"						"30,201"		"65,666"	"30,514"	"32,532"	"74,901"	"43,228"	"69,932"	"50,437"	"28,595"	"44,437"	"40,466"	"74,170"	"53,701"	"43,201"	"29,017"
5-aminovalerate	Amino acid	"Urea cycle; arginine-, proline-, metabolism"	50	18319	GC/MS	1620.8	174	660-88-8;	C00431	HMDB03355	"279,172"	"300,104"	"274,700"	"193,774"	"683,848"	"839,357"	"638,144"	"803,483"	"519,299"	"632,736"	"583,118"	"680,305"	"316,755"	"242,868"	"110,967"	"113,780"	"119,606"	"248,078"	"308,165"	"110,722"	"129,534"	"305,707"	"232,893"	"169,008"	"322,580"	"175,301"	"67,837"	"197,489"	"240,160"	"347,600"
5-methyltetrahydrofolate (5MeTHF)	Cofactors and vitamins	Folate metabolism	201	18330	LC/MS	1838	458.2	68703-91-3;68792-52-9;	C00440	HMDB01396								"16,214"	"29,244"	"19,670"	"15,543"	"18,039"		"27,570"						"29,628"			"47,059"	"53,062"	"22,001"	"66,022"	"48,957"	"44,486"	"18,784"	"19,208"
5-methylthioadenosine (MTA)	Amino acid	Polyamine metabolism	200	1419	LC/MS	2427	298.1	2457-80-9;	C00170	HMDB01173	"127,969"	"71,816"	"238,053"	"121,767"	"125,033"	"98,964"	"149,671"	"670,882"	"500,855"	"575,385"	"594,574"	"532,763"	"684,222"	"801,156"	"76,542"	"116,876"	"222,367"	"125,092"	"105,491"	"282,438"	"183,207"	"380,526"	"358,244"	"329,738"	"418,270"	"289,659"	"474,689"	"501,201"	"282,500"	"400,594"
5-methyluridine (ribothymidine)	Nucleotide	"Pyrimidine metabolism, uracil containing"	201	35136	LC/MS	1774	257.1	1463-10-1;		HMDB00884								"25,299"	"33,977"	"29,550"	"28,832"	"27,478"		"35,392"											"20,894"			"16,975"		"16,789"
5-oxoproline	Amino acid	Glutathione metabolism	201	1494	LC/MS	744	128.2	98-79-3;	C01879	HMDB00267	"149,844"	"150,128"	"142,196"	"170,916"	"156,930"	"155,773"	"173,219"	"858,541"	"695,227"	"399,752"	"537,253"	"510,085"	"902,148"	"1,048,877"	"197,809"	"213,847"	"250,996"	"148,171"	"118,867"	"212,435"	"208,922"	"937,276"	"1,109,870"	"229,709"	"1,262,019"	"314,648"	"1,228,542"	"1,219,402"	"1,388,324"	"1,821,776"
6-beta-hydroxylithocholate	Lipid	Bile acid metabolism	201	36807	LC/MS	4826	391.3		C15515	HMDB00811	"22,115"	"74,324"	"62,045"	"25,635"	"40,131"	"30,519"	"26,457"		"16,326"														"38,707"	"42,620"			"19,879"	"20,049"		
6-phosphogluconate	Carbohydrate	"Nucleotide sugars, pentose metabolism"	201	15442	LC/MS	588	275.1	921-62-0;53411-70-4;	C00345	HMDB01316	"129,450"	"117,839"	"114,618"	"89,982"	"120,204"	"113,611"	"112,450"	"134,559"	"125,959"	"168,304"	"145,258"	"169,352"	"87,746"	"107,757"	"59,032"	"69,156"	"103,440"	"96,764"	"92,368"	"117,977"	"77,243"	"228,451"	"229,929"	"190,479"	"113,207"	"157,449"	"236,131"	"261,326"	"318,848"	"367,494"
7-alpha-hydroxycholesterol	Lipid	Sterol/Steroid	50	35692	GC/MS	2300	456.2	566-27-8;	C03594	HMDB01496	"166,736"	"194,661"	"187,796"	"229,911"	"104,232"	"113,782"	"98,465"	"227,812"	"122,326"	"112,364"	"162,950"	"127,183"	"105,628"	"99,223"	"49,947"	"126,902"	"176,026"	"81,226"	"86,576"		"44,342"	"278,386"	"133,498"	"163,351"	"47,033"	"200,280"	"53,385"	"68,393"	"178,962"	"176,834"
7-beta-hydroxycholesterol	Lipid	Sterol/Steroid	50	35092	GC/MS	2340	456.4	566-27-8;	C03594	HMDB06119	"238,498"	"144,010"	"187,228"	"268,071"	"125,771"	"149,163"	"134,193"	"378,683"	"170,256"	"234,797"	"319,381"	"238,540"	"187,644"	"93,390"	"94,085"	"107,107"	"137,000"	"135,279"	"103,255"	"26,952"	"48,552"	"322,608"	"151,325"	"143,751"	"84,529"	"216,251"	"62,185"	"87,831"	"211,185"	"286,938"
8-iso-15-keto-prostaglandin E2	Lipid	Eicosanoid	201	7759	LC/MS	4495	349.2		C04707	HMDB02341															"38,049"															
acetylcarnitine	Lipid	Carnitine metabolism	200	32198	LC/MS	1203	204.2	5080-50-2;	C02571	HMDB00201	"512,258"	"409,298"	"351,670"	"184,507"	"253,557"	"326,098"	"175,001"	"6,270,365"	"5,099,615"	"7,582,777"	"9,477,901"	"6,405,998"	"7,686,644"	"6,251,889"	"4,096,405"	"3,484,297"	"2,739,592"	"5,133,699"	"1,370,300"	"2,543,003"	"3,395,265"	"2,342,537"	"1,994,686"	"1,373,750"	"3,562,424"	"1,645,180"	"1,779,758"	"2,002,981"	"3,246,675"	"3,523,431"
acetylphosphate	Energy	Oxidative phosphorylation	50	15488	GC/MS	1263	211	94249-01-1;	C00227	HMDB01494	"4,968,697"	"4,872,174"	"4,505,178"	"4,940,825"	"3,246,919"	"5,558,743"	"4,413,857"	"5,228,223"	"4,101,688"	"4,589,513"	"3,951,090"	"5,039,910"	"3,642,425"	"3,238,105"	"3,034,207"	"5,633,921"	"4,225,225"	"9,566,638"	"3,938,409"	"3,169,025"	"3,834,298"	"5,620,161"	"3,165,432"	"6,424,482"	"7,566,981"	"6,627,641"	"7,665,588"	"5,094,068"	"4,112,088"	"5,851,620"
adenine	Nucleotide	"Purine metabolism, adenine containing"	50	554	GC/MS	1804.2	264	73-24-5;	C00147	HMDB00034	"254,587"	"198,826"	"458,431"	"264,947"	"193,363"	"124,560"	"215,849"	"873,239"	"443,717"	"722,011"	"740,949"	"605,475"	"758,862"	"981,127"	"65,826"	"195,048"	"367,728"	"206,068"	"171,366"	"424,106"	"244,441"	"376,117"	"415,836"	"548,463"	"595,748"	"449,929"	"662,173"	"667,027"	"444,172"	"527,560"
adenosine	Nucleotide	"Purine metabolism, adenine containing"	200	555	LC/MS	1605	268.1	58-61-7;	C00212	HMDB00050	"434,326"	"345,744"	"653,104"	"383,123"	"330,448"	"322,180"	"326,982"	"82,713"	"118,233"	"105,451"	"101,153"	"133,488"	"125,286"	"88,863"	"101,303"	"129,329"	"111,563"	"158,557"	"122,506"	"228,901"	"158,134"	"286,296"	"279,808"	"433,116"	"143,113"	"269,246"	"255,516"	"199,990"	"169,655"	"186,493"
adenosine 2'-monophosphate (2'-AMP)	Nucleotide	"Purine metabolism, adenine containing"	201	36815	LC/MS	1497	346.1	130-49-4;	C00946	HMDB11617	"227,576"	"264,316"	"174,052"	"291,128"	"366,153"	"263,361"	"273,522"	"23,411"	"64,901"	"49,508"	"62,845"	"75,269"	"89,765"	"69,354"	"64,270"	"130,765"	"122,897"	"203,381"	"157,504"	"211,595"	"121,115"	"310,717"	"323,810"	"370,266"	"185,277"	"365,151"	"246,068"	"231,039"	"180,419"	"174,716"
"adenosine 3',5'-diphosphate"	Nucleotide	"Purine metabolism, adenine containing"	201	15691	LC/MS	602	426	75431-54-8;	C00054	HMDB00061	"145,882"	"112,397"	"110,593"	"91,979"	"201,008"	"165,588"	"173,989"								"18,472"	"21,788"	"21,487"	"34,926"	"27,026"	"37,701"		"22,508"	"49,140"	"70,566"	"16,030"	"48,571"				
adenosine 3'-monophosphate (3'-AMP)	Nucleotide	"Purine metabolism, adenine containing"	200	35142	LC/MS	1451	348.1	84-21-9;	C01367	HMDB03540	"153,089"	"188,441"	"132,954"	"202,769"	"314,859"	"228,344"	"215,807"	"68,455"	"112,533"	"51,398"	"173,664"	"72,876"	"115,635"	"100,775"	"180,031"	"146,502"	"89,928"	"239,733"	"231,072"	"195,822"	"177,003"	"72,689"	"225,147"	"122,584"	"469,898"	"127,387"	"112,479"	"124,291"	"67,844"	"74,701"
adenosine 5'-monophosphate (AMP)	Nucleotide	"Purine metabolism, adenine containing"	200	32342	LC/MS	1210	348.1	149022-20-8;	C00020	HMDB00045	"678,463"	"472,856"	"930,607"	"474,098"	"450,594"	"312,347"	"363,673"	"90,426"	"87,963"	"107,103"	"99,847"	"142,721"	"226,980"	"218,617"	"69,033"	"135,449"	"105,200"	"131,927"	"82,620"	"497,499"	"68,090"	"884,504"	"743,421"	"1,540,508"	"153,005"	"871,454"	"478,791"	"230,435"	"153,568"	"413,004"
adenylosuccinate	Nucleotide	"Purine metabolism, adenine containing"	201	18360	LC/MS	569	462.1	19046-78-7;	C03794	HMDB00536																						"162,816"								
adrenate (22:4n6)	Lipid	Long chain fatty acid	201	32980	LC/MS	5684	331.3	2091-25-0;	C16527	HMDB02226	"1,922,264"	"1,049,576"	"1,603,062"	"1,937,819"	"514,031"	"1,075,438"	"584,518"	"1,307,986"	"1,671,406"	"1,424,660"	"1,436,112"	"924,159"	"1,830,445"	"1,346,221"	"768,521"	"1,522,698"	"559,102"	"2,505,090"	"2,833,938"	"2,740,122"	"4,464,689"	"2,636,016"	"2,302,043"	"840,702"	"2,798,433"	"1,199,471"	"3,047,442"	"1,641,605"	"1,491,843"	"1,749,025"
alanine	Amino acid	Alanine and aspartate metabolism	50	1126	GC/MS	1147.6	115.9	56-41-7;	C00041	HMDB00161	"216,431,536"	"210,708,976"	"210,685,824"	"194,001,184"	"234,372,656"	"205,474,944"	"205,256,944"	"143,077,776"	"144,048,096"	"151,003,152"	"127,940,064"	"130,595,824"	"158,783,168"	"205,750,416"	"84,820,288"	"159,558,704"	"116,930,064"	"110,914,648"	"97,895,168"	"157,253,968"	"117,714,144"	"255,331,184"	"202,239,856"	"257,692,832"	"182,816,224"	"229,751,584"	"243,169,760"	"210,228,832"	"138,996,352"	"174,772,016"
allantoin	Nucleotide	"Purine metabolism, urate metabolism"	200	1107	LC/MS	740	159.1	97-59-6;	C02350	HMDB00462	"729,048"	"693,750"	"535,832"	"767,213"	"658,134"	"631,695"	"709,250"	"206,978"	"336,021"	"197,215"	"330,004"	"225,588"	"256,794"	"351,955"	"1,218,714"	"1,365,677"	"269,647"	"653,651"	"483,635"	"410,366"	"311,569"	"413,032"	"534,931"	"571,253"	"437,096"	"637,537"	"480,113"	"426,011"	"199,097"	"276,951"
allo-threonine	Amino acid	"Glycine, serine and threonine metabolism"	50	15142	GC/MS	1417.8	219	28954-12-3;	C05519	HMDB04041	"16,320"	"25,091"		"27,740"	"29,862"	"50,238"	"37,286"	"22,124"	"31,530"	"27,037"			"17,568"	"23,545"		"22,815"	"8,093"				"7,304"	"23,451"	"25,831"	"13,519"			"32,059"	"16,263"	"15,414"	"10,211"
alpha-hydroxyisovalerate	Amino acid	"Valine, leucine and isoleucine metabolism"	50	33937	GC/MS	1208	145.1	600-37-3;		HMDB00407	"118,227"	"68,138"	"73,412"	"46,869"				"91,842"	"118,850"	"71,884"	"114,977"	"61,046"	"153,674"	"155,218"	"243,819"	"344,844"	"72,886"	"349,978"	"58,880"		"46,671"	"94,151"	"125,143"	"90,572"	"64,039"	"36,386"	"67,525"	"98,276"	"157,968"	"131,807"
alpha-ketoglutarate	Energy	Krebs cycle	50	528	GC/MS	1601.5	347.1	305-72-6;328-50-7;22202-68-2;	C00026	HMDB00208	"25,541"		"16,959"	"15,934"	"37,346"	"15,641"	"33,942"						"13,099"		"20,107"		"48,524"		"15,056"	"118,699"	"39,934"	"35,254"	"65,974"	"17,521"		"156,055"	"288,544"	"74,654"	"51,255"	"25,653"
alpha-tocopherol	Cofactors and vitamins	Tocopherol metabolism	50	1561	GC/MS	2305.3999	502.5	59-02-9;10191-41-0;	C02477	HMDB01893					"94,582"	"55,219"	"136,691"			"77,495"	"78,910"	"40,743"	"29,482"	"53,825"						"84,587"	"53,917"		"83,186"		"223,806"		"84,221"	"65,691"		
arabitol	Carbohydrate	"Nucleotide sugars, pentose metabolism"	50	38075	GC/MS	1687.5	307.1	488-82-4;	C00474	HMDB01851	"21,184"		"14,394"					"18,479"			"15,048"	"11,040"		"22,015"	"125,987"	"99,127"		"71,977"		"16,693"	"14,951"		"14,807"	"23,876"		"14,091"	"13,446"			
arabonate	Cofactors and vitamins	Ascorbate and aldarate metabolism	50	37516	GC/MS	1736	292.1	7643-75-7;		HMDB00539	"26,185"	"27,980"	"29,905"		"29,182"	"41,362"	"45,889"	"45,198"	"17,729"	"23,994"	"64,416"	"29,444"	"32,452"	"30,414"	"272,057"	"169,164"		"71,224"	"13,042"	"27,276"	"17,686"	"27,464"	"31,449"	"55,235"	"19,609"	"33,615"	"58,469"	"40,977"	"18,172"	"24,108"
arachidate (20:0)	Lipid	Long chain fatty acid	50	1118	GC/MS	2071.2	369.3	506-30-9;	C06425	HMDB02212	"97,370"		"92,109"	"68,773"			"24,195"	"57,539"	"42,807"	"68,930"	"51,447"	"64,730"	"37,797"	"58,948"	"81,739"	"69,882"	"51,491"	"34,283"	"34,991"	"52,585"	"63,490"	"101,373"	"129,500"	"121,855"	"55,589"	"84,244"	"89,182"	"43,575"	"43,099"	"86,575"
arachidonate (20:4n6)	Lipid	Long chain fatty acid	201	1110	LC/MS	5525	303.4	506-32-1;	C00219	HMDB01043	"14,328,519"	"13,559,095"	"12,524,338"	"18,903,314"	"22,107,032"	"18,002,040"	"16,578,138"	"14,469,894"	"15,094,079"	"14,158,093"	"15,671,829"	"12,501,361"	"12,192,382"	"11,470,343"	"6,415,751"	"11,643,393"	"3,279,736"	"11,805,606"	"13,666,078"	"15,157,175"	"16,377,742"	"15,014,177"	"12,397,810"	"9,434,723"	"24,729,628"	"11,411,470"	"19,416,874"	"9,908,027"	"9,403,550"	"11,074,356"
arginine	Amino acid	"Urea cycle; arginine-, proline-, metabolism"	200	1638	LC/MS	650	175.2	1119-34-2;	C00062	HMDB00517	"310,011"	"361,713"	"288,739"	"332,491"	"334,921"	"348,791"	"358,092"	"347,633"	"495,449"	"586,803"	"570,318"	"499,692"	"780,094"	"756,173"	"677,221"	"561,297"	"679,712"	"555,580"	"664,738"	"633,396"	"659,005"	"257,819"	"454,690"	"133,731"	"527,797"	"270,192"	"267,722"	"146,630"	"588,855"	"383,072"
ascorbate (Vitamin C)	Cofactors and vitamins	Ascorbate and aldarate metabolism	50	1640	GC/MS	1850.1	332.1	134-03-2;	C00072	HMDB00044		"17,989"		"20,929"	"1,446,023"	"573,853"	"1,116,769"	"4,701,121"	"5,509,558"	"7,746,402"	"10,372,297"	"2,833,988"	"21,808,416"	"22,011,202"	"66,990"	"272,261"		"268,369"		"4,339,834"	"356,826"	"25,995"	"5,332,678"	"1,823,226"	"7,312,163"	"1,180,464"	"11,593,570"	"11,349,518"	"161,684"	"888,784"
asparagine	Amino acid	Alanine and aspartate metabolism	50	11398	GC/MS	1651.2	231	70-47-3;	C00152	HMDB00168	"586,511"	"538,583"	"837,134"	"823,181"	"831,818"	"382,813"	"525,647"	"1,416,944"	"1,458,309"	"1,920,438"	"1,509,907"	"666,526"	"2,343,085"	"3,271,890"	"412,278"	"625,569"	"375,120"	"207,387"	"577,834"	"1,209,019"	"539,267"	"2,021,470"	"2,122,719"	"838,471"	"1,695,947"	"970,330"	"1,894,428"	"827,433"	"1,126,127"	"1,309,922"
aspartate	Amino acid	Alanine and aspartate metabolism	50	15996	GC/MS	1529.7	232	56-84-8;	C00049	HMDB00191	"7,325,739"	"6,915,192"	"7,998,388"	"8,117,653"	"10,771,584"	"8,213,285"	"8,848,585"	"28,122,430"	"26,612,662"	"29,300,616"	"29,109,934"	"24,802,670"	"20,655,790"	"22,073,292"	"5,873,807"	"7,515,405"	"12,452,211"	"8,608,250"	"13,310,339"	"19,686,302"	"15,797,575"	"27,891,290"	"19,934,132"	"16,482,210"	"37,370,516"	"12,064,186"	"22,475,670"	"18,763,220"	"34,676,912"	"37,381,008"
azelate (nonanedioate)	Lipid	"Fatty acid, dicarboxylate"	201	18362	LC/MS	1322	187.2	123-99-9;	C08261	HMDB00784	"50,237"	"47,190"	"52,903"	"64,320"	"32,869"	"54,470"	"48,663"	"45,288"	"28,297"	"23,821"	"20,286"	"27,541"	"19,130"	"19,196"	"52,237"	"34,997"	"42,438"	"24,466"	"27,502"	"23,557"		"53,697"	"25,607"	"34,320"	"19,883"	"57,063"	"18,299"	"25,919"	"43,044"	"51,134"
beta-alanine	Amino acid	Alanine and aspartate metabolism	50	55	GC/MS	1451.8	174	56-41-7;107-95-9;	C00099	HMDB00056	"1,728,370"	"2,209,860"	"1,123,690"	"795,028"	"844,640"	"1,406,641"	"1,867,667"	"876,837"	"1,477,428"	"592,847"	"772,524"	"807,168"	"735,388"	"788,060"	"639,675"	"2,452,633"	"1,049,839"	"2,090,650"	"808,737"	"335,514"	"775,124"	"2,254,110"	"1,025,224"	"1,109,489"	"1,571,167"	"1,054,845"	"861,329"	"1,293,957"	"907,148"	"1,004,812"
beta-hydroxypyruvate	Amino acid	"Glycine, serine and threonine metabolism"	50	15686	GC/MS	1425.1	221	3369-79-7;	C00168	HMDB01352	"174,851"	"153,115"	"122,665"	"125,645"	"97,858"	"128,641"	"155,661"			"35,206"		"37,599"		"16,152"					"59,798"			"61,476"	"54,406"	"151,258"		"106,257"				
beta-muricholate	Lipid	Bile acid metabolism	201	31885	LC/MS	4787	407.4	2393-59-1;	C17726	HMDB00415	"3,876,591"	"10,070,834"	"6,416,251"	"3,063,222"	"2,130,670"	"3,487,445"	"2,245,267"	"63,279"	"1,450,679"	"75,687"	"49,839"	"252,913"	"113,907"	"297,713"	"70,027"	"2,422,607"	"412,820"	"1,109,679"	"163,164"	"1,217,829"	"145,679"	"5,135,284"	"6,252,594"	"8,795,982"	"118,557"	"4,298,165"	"6,266,648"	"5,286,906"	"366,676"	"2,220,640"
beta-sitosterol	Lipid	Sterol/Steroid	50	27414	GC/MS	2380.8	357.4	83-46-5;	C01753	HMDB00852	"84,237"	"77,450"		"122,887"	"63,445"			"55,602"	"77,303"		"65,077"		"103,146"	"72,891"	"78,849"	"69,549"				"151,943"	"120,068"	"82,770"	"75,545"		"46,314"	"125,955"				"76,228"
betaine	Amino acid	"Glycine, serine and threonine metabolism"	200	3141	LC/MS	721	118.2	107-43-7;	C00719	HMDB00043	"10,733,695"	"9,704,897"	"9,814,912"	"7,518,370"	"11,585,126"	"8,036,758"	"8,295,907"	"7,046,112"	"9,738,176"	"11,037,552"	"9,054,352"	"10,986,015"	"5,276,919"	"6,085,562"	"2,998,083"	"3,080,903"	"1,684,536"	"3,465,626"	"4,739,045"	"2,578,017"	"2,591,868"	"9,762,378"	"9,640,433"	"5,284,993"	"8,597,884"	"6,614,615"	"7,076,312"	"5,355,671"	"2,872,967"	"5,785,523"
betaine aldehyde	Amino acid	"Glycine, serine and threonine metabolism"	200	15499	LC/MS	639	120.2	7758-31-8;	C00576	HMDB01252	"261,232"	"522,678"	"238,288"	"490,685"	"702,705"	"357,553"	"404,433"	"57,124"	"136,335"	"138,379"	"122,350"	"275,236"					"68,724"		"179,775"	"172,847"	"65,710"	"97,579"	"257,507"	"195,582"	"93,929"	"149,637"	"232,941"	"29,942"	"63,619"	"66,491"
biopterin	Cofactors and vitamins	Folate metabolism	200	12358	LC/MS	1555	238.1	22150-76-1;	C06313	HMDB00468	"81,063"	"110,442"	"102,725"	"110,006"	"88,069"	"101,301"	"50,942"	"25,387"	"57,371"	"40,548"		"54,411"	"37,620"	"34,599"	"62,334"	"77,340"	"75,562"	"97,158"	"79,336"	"83,278"	"81,310"	"96,760"	"69,615"	"89,523"	"77,521"	"79,266"	"61,765"		"63,538"	"77,728"
C-glycosyltryptophan*	Amino acid	Tryptophan metabolism	200	32675	LC/MS	1912	367.1				"114,975"	"112,698"	"109,693"	"89,854"	"103,288"	"115,448"	"96,761"	"183,166"	"212,623"	"161,775"	"186,532"	"157,412"	"177,529"	"202,330"	"183,826"	"168,137"	"120,405"	"187,410"	"258,648"	"172,413"	"177,841"	"220,380"	"267,547"	"168,485"	"297,891"	"191,022"	"222,693"	"147,532"	"203,117"	"164,614"
campesterol	Lipid	Sterol/Steroid	50	33997	GC/MS	2353	129	474-62-4;	C01789	HMDB02869	"1,310,017"	"603,377"	"1,061,164"	"1,621,137"	"908,580"	"1,213,956"	"567,333"	"685,382"	"749,399"	"613,643"	"485,332"	"1,473,500"	"633,594"	"1,362,597"	"1,054,444"	"811,237"	"1,482,250"		"1,066,856"	"1,236,658"	"940,906"	"686,823"	"857,551"	"742,243"	"1,391,574"	"1,125,549"	"1,094,089"	"740,098"	"371,353"	"874,769"
caproate (6:0)	Lipid	Medium chain fatty acid	201	32489	LC/MS	2766	115.2	142-62-1;	C01585	HMDB00535	"71,959"	"176,484"	"83,746"	"68,492"	"32,176"	"57,586"	"68,430"	"20,532"	"16,392"	"33,741"	"24,212"	"38,053"	"34,381"	"20,316"	"97,468"	"87,535"	"165,719"	"84,408"	"103,374"	"22,720"	"84,238"	"55,582"	"33,652"	"70,861"	"24,221"	"71,004"	"18,448"	"32,235"	"70,528"	"71,566"
carnitine	Lipid	Carnitine metabolism	200	15500	LC/MS	702	162.2	461-05-2;	C00487	HMDB00062	"5,643,937"	"4,762,216"	"4,773,876"	"3,718,650"	"7,290,446"	"7,595,765"	"6,184,409"	"12,158,101"	"9,989,431"	"12,341,869"	"12,307,889"	"10,825,895"	"10,947,681"	"12,422,977"	"3,345,648"	"5,646,821"	"3,482,832"	"5,171,266"	"3,923,387"	"5,051,165"	"4,099,347"	"7,205,949"	"6,262,959"	"6,257,165"	"8,971,866"	"7,391,665"	"7,604,154"	"6,690,460"	"6,555,963"	"7,795,544"
catechol sulfate	Xenobiotics	Benzoate metabolism	201	35320	LC/MS	1928	188.9		C00090				"18,840"	"27,494"	"22,698"	"18,468"		"22,439"		"18,723"			"23,026"			"33,748"		"83,361"	"96,870"	"32,740"	"36,437"		"28,567"				"19,190"	"19,101"		"16,466"
chenodeoxycholate	Lipid	Bile acid metabolism	201	37789	LC/MS	5250	391.4	474-24-9;474-25-9;	C02528	HMDB00518	"114,388"	"172,437"	"145,727"	"83,407"	"52,656"	"53,763"	"52,933"													"18,496"		"55,460"	"132,174"	"108,911"		"101,706"	"86,929"	"59,281"		
cholate	Lipid	Bile acid metabolism	201	22842	LC/MS	5148	407.4	81-25-4;	C00695	HMDB00619	"115,791"	"141,662"	"175,043"	"73,263"	"53,699"	"80,851"	"68,521"		"40,649"		"20,638"					"27,862"	"15,428"	"17,699"		"57,067"	"61,277"	"113,664"	"189,032"	"249,762"		"90,467"	"211,196"	"147,088"		"39,662"
cholesterol	Lipid	Sterol/Steroid	50	63	GC/MS	2316.8999	329.3	57-88-5;	C00187	HMDB00067	"17,903,146"	"14,935,624"	"17,714,436"	"21,340,056"	"22,104,330"	"18,638,284"	"18,563,082"	"28,763,812"	"23,808,640"	"27,490,768"	"28,829,036"	"23,747,150"	"30,312,846"	"28,221,992"	"24,024,336"	"24,220,178"	"19,379,620"	"22,240,194"	"23,489,468"	"25,023,374"	"24,921,016"	"28,846,718"	"34,665,304"	"26,155,774"	"40,148,308"	"25,558,304"	"29,135,104"	"20,348,460"	"23,005,140"	"28,113,190"
